status,facility_id,name,state,fuel,capacity_mw,latitude,longitude
accredited,ACC_SRPXQLE8,"Laura Johnson Home, Townview - Solar w SGU - QLD",QLD,Solar,0.2265,-20.729005,139.493224
accredited,ACC_SRPYNS39,Leppington - Solar - NSW,NSW,Solar,0.732,-33.962343,150.801776
accredited,ACC_SRPYNS58,Quakers Hillside Care Community - Solar w SGU - NSW,NSW,Solar,0.1996,-33.873754,151.209587
accredited,ACC_SRPXVCN4,Rest Nominees - Solar wSGU - VIC,VIC,Solar,0.1188,-37.754520,144.980727
accredited,ACC_SRPXQLF9,Retail First Mt Ommaney-Solar-QLD,QLD,Solar,1.0004,-27.507006,153.068285
accredited,ACC_SRPXQLG3,Woolworths HCFDC Heathwood - Solar - QLD,QLD,Solar,1.6721,-27.541981,153.079185
accredited,ACC_SRPVTA25,Woolworths Kings Meadow 7210 - Solar - TAS,TAS,Solar,0.2926,-31.556484,147.086076
accredited,ACC_SRPVSAY5,CLAYTON CHURCH HOMES INC- ELIZABETH PARK - Solar w SGU - SA,SA,Solar,0.1965,-34.712389,138.685203
accredited,ACC_SRPYNS57,Dalwood Children's Home - Solar - NSW,NSW,Solar,0.2465,-33.755819,150.957993
accredited,ACC_SRPVSAY1,Haighs Proprietary Limited - Salisbury South - Solar - SA,SA,Solar,0.6265,-34.782776,138.642958
accredited,ACC_SRPYNS56,Lindt & Sprungli (Australia) Pty Ltd - 1017.9kW - Solar w SGU - NSW,NSW,Solar,1.0179,-33.873754,151.209587
accredited,ACC_SRPVSAX9,Midfield Trading Solar W SGU-SA,SA,Solar,0.6443,-34.920631,138.603969
accredited,ACC_SRPXVCG8,Wilandra Farms Clydebank - Solar - VIC,VIC,Solar,0.155,-37.806777,145.181273
accredited,ACC_SRPYNS13,Balickera WPS - Solar - NSW,NSW,Solar,3.1158,-31.556484,147.086076
accredited,ACC_SRPVSAX0,The Creeks Pipeline Company Ltd - Solar - SA,SA,Solar,2.808,-32.415551,137.839844
accredited,ACC_SRPVSAX2,Lai Industries - Solar w SGU - SA,SA,Solar,0.5445,-34.920631,138.603969
accredited,ACC_SRPVSAY6,CLAYTON CHURCH HOMES INC- Prospect-Solar-W-SGU-SA,SA,Solar,0.198,-34.884706,138.601366
