facility_id,name,fuel,state,lat,lon
0BCWF,Boulder Creek,wind,QL,-23.669964,150.260813
0BSSF,Broadsound,battery_charging,QL,-22.810001,149.36302
0BUNDSF,Bundaberg,solar_utility,QL,-24.943515,152.020698
0BUNGAMA,Bungama,battery,SA,-33.191223,138.08733
0CALBESS1,Calala 1,battery,NS,-31.141287,150.963101
0CALBESS2,Calala 2,battery,NS,-31.141287,150.963101
0ERB2,Eraring 2,battery,NS,-33.066837,151.515026
0FULHAMSF,Fulham,solar_utility,VI,-38.121256,146.973124
0GLENELLEN,Glenellen,solar_utility,NS,-35.929882,146.909107
0GNARWARREBESS,Gnarwarre,battery,VI,-38.148311,144.139484
0GPWFWST,Golden Plains West,wind,VI,-37.90844,143.664887
0GRIVSF,Goulburn River,battery,NS,-32.282141,150.102488
0GUNSYNDSF,Gunsynd,solar_utility,QL,-28.408388,150.343437
0HORSHAMSF,Horsham,battery,VI,-36.71577,142.25956
0KIDSTON,Kidston,hydro,QL,-18.865892,144.15955
0LANCSF,Lancaster,solar_utility,VI,-36.290467,145.141535
0LCNBESS,Limestone Coast North,battery,SA,-37.733181,140.840805
0LIDDELLBESS,Liddell,battery_discharging,NS,-32.37564,150.978578
0LOCKHART,Lockhart,solar_utility,NS,-35.217506,146.70322
0LOTUSCRKWF,Lotus Creek,wind,QL,-22.366535,149.27332
0MARYVALE,Maryvale,solar_utility,NS,-32.465112,148.913306
0MORNBESS,Mornington,battery,VI,-38.268707,145.204823
0MREH,Melbourne A1,battery_discharging,VI,-37.661274,144.726302
0MREHA2,Melbourne A2,battery_discharging,VI,-37.663934,144.726927
0MRTLKBESS,Mortlake,battery,VI,-38.06698,142.669466
0ORANABESS,Orana,battery,NS,-32.530421,148.962923
0PLWF,Port Latta,wind,TA,-40.871168,145.357293
0RIVERINASF,Riverina,solar_utility,NS,-34.309852,146.105225
0SNOWY20,Snowy 2.0,hydro,NS,-35.745207,148.653852
0STANBESS,Stanwell,battery,QL,-23.513568,150.31811
0SUMMFBESS,Summerfield,battery,SA,-34.9538,139.21502
0SUPERNODE2,Supernode 2,battery,QL,-27.449227,153.112538
0SWANBBESS,Swanbank,battery,QL,-27.65619,152.817139
0TARONGBESS,Tarong,battery_discharging,QL,-26.780051,151.912068
0TERANGBESS,Terang,battery,VI,-38.231839,142.933262
0TILBSF,Tilbuster,solar_utility,NS,-30.382963,151.658909
0TOMAGOBESS,Tomago,battery,NS,-32.814277,151.706523
0UUNGULAWF,Uungula,wind,NS,-32.551969,149.161325
0WAMBOWF,Wambo,wind,QL,-26.603045,151.246876
0WDBESS,Williamsdale,battery,NS,-35.57458,149.131993
0WELLINGTONBESS,Bulabul,battery,NS,-32.530355,148.969343
0WOORBESS,Wooreen,battery,VI,-38.27376,146.427729
ADP,Adelaide Desalination,solar_utility,SA,-35.096948,138.484061
AGLHAL,Hallett,gas_ocgt,SA,-33.34931,138.752633
AGLNOW1,West Nowra,bioenergy_biogas,NS,-34.882318,150.551075
AGLSITA,Kemps Creek,bioenergy_biogas,NS,-33.874591,150.761858
AGLSOM,Somerton,gas_ocgt,VI,-37.630949,144.953098
ALDGASF,Aldoga,solar_utility,QL,-23.839544,151.0849
AMCORGR,Amcor Glass,distillate,SA,-34.882663,138.577975
ANGASTON,Angaston,distillate,SA,-34.503948,139.024296
APPIN,Appin,gas_wcmg,NS,-34.210868,150.792711
APS,Anglesea,coal_brown,VI,-38.389031,144.180589
ARWF,Ararat,wind,VI,-37.263393,143.082116
AVLSF,Avonlie,solar_utility,NS,-34.919115,146.60954
AWABAREF,Awaba,bioenergy_biogas,NS,-33.023339,151.551228
B2PS,Braemar 2,gas_ocgt,QL,-27.109873,150.907653
BAKING,Baking Board,solar_utility,QL,-26.721166,150.55417
BALBESS,Ballarat,battery,VI,-37.567452,143.852741
BANGOWF,Bango,wind,NS,-34.767208,148.921499
BANKSPT,Bankstown Sports Club,distillate,NS,-33.919998,151.033742
BANNSP,Bannerton,solar_utility,VI,-34.67263,142.750362
BAPS,Banimboola,hydro,VI,-36.534524,147.459788
BARCALDN,Barcaldine,gas_ccgt,QL,-23.552171,145.314851
BARCSF,Barcaldine,solar_utility,QL,-23.547333,145.318972
BARKIPS,Barker Inlet,gas_recip,SA,-34.804,138.524
BARRON,Barron Gorge,hydro,QL,-16.85077,145.647049
BASTYAN,Bastyan,hydro,TA,-41.736231,145.531589
BAYSW,Bayswater,coal_black,NS,-32.393502,150.953963
BBASEHOS,Ballarat Hospital,gas_recip,VI,-37.558774,143.847247
BBATTERY,Bouldercombe,battery,QL,-23.563443,150.459658
BBDISEL1,Bell Bay,distillate,TA,-41.127009,146.874083
BBP31,Bell Bay Three,gas_ocgt,TA,-41.139324,146.905522
BDONGHYD,Burrendong,hydro,NS,-32.664647,149.108016
BELLBAY,Bell Bay,gas_steam,TA,-41.141944,146.9025
BERWICK,Berwick,bioenergy_biogas,VI,-37.940819,145.236257
BERYLSF,Beryl,solar_utility,NS,-32.347501,149.460738
BHB,Broken Hill Battery,battery,NS,-31.9863,141.4204
BHILLGT,Broken Hill,distillate,NS,-31.986313,141.42062
BHWF,Bald Hills,wind,VI,-38.758189,145.956062
BIALAWF,Biala,wind,NS,-34.587836,149.369848
BLAYNEY,Blayney,wind,NS,-33.621944,149.198333
BLUEGSF,Blue Grass,solar_utility,QL,-26.691708,150.500037
BLUFF,The Bluff,wind,SA,-33.367741,138.79379
BLULAKE,Blue Lake Milling,distillate,SA,-36.316597,140.757571
BLYTHB,Blyth,battery_charging,SA,-33.848475,138.403204
BNGSF1,Bungala One,solar_utility,SA,-32.423316,137.841798
BNGSF2,Bungala Two,solar_utility,SA,-32.406993,137.840933
BOCOROCK,Boco Rock,wind,NS,-36.574527,149.124863
BODWF,Bodangora,wind,NS,-32.407128,149.04133
BOLIVAR,Bolivar,battery_discharging,SA,-34.495482,138.387641
BOLIVPS,Bolivar,gas_ocgt,SA,-34.7772,138.5826
BOMENSF,Bomen,solar_utility,NS,-35.0486,147.4439
BPLANDF,Browns Plains,bioenergy_biogas,QL,-27.674584,153.068499
BRAEMARA,Braemar,gas_ocgt,QL,-27.111669,150.907647
BRNDBES,Brendale,battery_charging,QL,-27.329333,152.974384
BROADMDW,Broadmeadows,bioenergy_biogas,VI,-37.685081,144.966114
BROKENH,Broken Hill,solar_utility,NS,-31.988905,141.391547
BROOKLYN,Brooklyn,bioenergy_biogas,VI,-37.818597,144.828492
BROWNMT,Brown Mountain,hydro,NS,-36.594993,149.473997
BRYB1WF1,Berrybank,wind,VI,-37.980741,143.472217
BULGANA,Bulgana Green Power Hub,wind,VI,-37.039507,142.982799
BURRIN,Burrinjuck,hydro,NS,-35.003532,148.579891
